"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"LUX","Luxottica Group, S.p.A.","45.36","21795818748.48","n/a","Italy","1990","Health Care","Ophthalmic Goods","http://www.nasdaq.com/symbol/lux",
"LYB","LyondellBasell Industries NV","81.87","34035151298.04","n/a","Netherlands","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/lyb",
"MX","MagnaChip Semiconductor Corporation","8.5","295219909","n/a","Luxembourg","2011","Technology","Semiconductors","http://www.nasdaq.com/symbol/mx",
"MNK","Mallinckrodt plc","62.1","6688997172","n/a","Ireland","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/mnk",
"MAMS","MAM Software Group, Inc.","6.03","74776570.74","n/a","United Kingdom","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/mams",
"MANU","Manchester United Ltd.","15.9","2608001952","n/a","United Kingdom","2012","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/manu",
"MHG","Marine Harvest ASA","18.03","8115044305.56","n/a","Norway","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mhg",
"MTLS","Materialise NV","7.96","376710486.48","n/a","Belgium","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/mtls",
"MRUS","Merus N.V.","18.76","289037346.08","n/a","Netherlands","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/mrus",
"MTD","Mettler-Toledo International, Inc.","407.23","10787363880.3","n/a","Switzerland","1997","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/mtd",
"MTP","Midatech Pharma PLC","2.91","48804209.46","n/a","United Kingdom","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/mtp",
"MIME","Mimecast Limited","21.22","1155993876.4","n/a","United Kingdom","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/mime",
"MYL","Mylan N.V.","37.02","19802423618.94","n/a","United Kingdom","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/myl",
"NBRV","Nabriva Therapeutics AG","6.35","135082661","n/a","Austria","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nbrv",
"NGG","National Grid Transco, PLC","65.36","51295025847.12","n/a","United Kingdom","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/ngg",
"NW^C","Natl Westminster Pfd","25.79","0","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/nw^c",
"NTZ","Natuzzi, S.p.A.","1.66","91056054.7","n/a","Italy","1993","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/ntz",
"NNA","Navios Maritime Acquisition Corporation","1.34","202049206.6","n/a","Greece","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nna",
"NMM","Navios Maritime Partners LP","1.38","114649999.8","n/a","Greece","2007","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/nmm",
"NEON","Neonode Inc.","1.18","57636513.54","n/a","Sweden","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/neon",
"NVET","Nexvet Biopharma plc","4.2","49154133","n/a","Ireland","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nvet",
"NLSN","Nielsen N.V.","54.6","19511078386.8","n/a","Netherlands","2011","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/nlsn",
"NE","Noble Corporation","5.97","1452012259.98","n/a","Switzerland","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ne",
"NOK","Nokia Corporation","4.92","28710973709.04","n/a","Finland","1994","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/nok",
"NVS","Novartis AG","75.54","179875848000","n/a","Switzerland","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nvs",
"NVO","Novo Nordisk A/S","41.5","107900000000","n/a","Denmark","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/nvo",
"NVCR","NovoCure Limited","6.84","586699454.16","n/a","Jersey","2015","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/nvcr",
"NXPI","NXP Semiconductors N.V.","101.71","34501112567.04","n/a","Netherlands","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/nxpi",
"OASM","Oasmia Pharmaceutical AB","2.7","96488099.1","n/a","Sweden","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/oasm",
"OMAA","OM Asset Management plc","24.84","0","n/a","United Kingdom","2016","Finance","Investment Managers","http://www.nasdaq.com/symbol/omaa",
"OMAM","OM Asset Management plc","14.41","1731473393.65","n/a","United Kingdom","2014","Finance","Investment Managers","http://www.nasdaq.com/symbol/omam",
"OHGI","One Horizon Group, Inc.","0.46","16233594.58","n/a","Ireland","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ohgi",
